geo,TIME_PERIOD,Network_length_KM,Consignment_full_train_load_THS_T,Consignment_full_wagon_load_THS_T,Consignment_total_THS_T,uncertainty_estimate_NL,uncertainty_estimate_FULL_TR,uncertainty_estimate_FULL_WG,uncertainty_estimate_TOTAL,population,uncertainty_estimate_POP,land_area_km2,km_per_million_people,km_per_1000_sqkm
SE,2008,11032.0,44866.0,20766.0,65632.0,,,,,9124514.022046024,57476.08412896691,447424.0,1209.0506928199397,24.656701473322844
SE,2009,11149.0,36606.0,19860.0,56466.0,,,,,9219155.631612089,52668.12611703922,447424.0,1209.3298394671372,24.91819839794021
SE,2010,11160.0,45453.0,22876.0,68329.0,,,,,9313797.241178151,47904.048769146655,447424.0,1198.22234809444,24.94278357888714
SE,2011,11206.0,42593.0,25314.0,67907.0,,,,,9408438.850744216,43198.37249468293,447424.0,1191.058386813408,25.04559433557431
SE,2012,11136.0,41885.0,23904.0,65789.0,,,,,9503080.460310278,38572.477257989805,447424.0,1171.8305497369647,24.889143184093836
SE,2013,10957.0,38082.0,28964.0,67047.0,,,,,9597722.069876345,34058.886290703456,447424.0,1141.6250564693803,24.489075239593763
SE,2014,10881.0,37687.0,30348.0,68035.0,,,,,9644864.0,,447424.0,1128.165207928282,24.319213989414962
SE,2015,10908.0,35929.0,29070.0,64999.0,,,,,9747355.0,,447424.0,1119.0728151380554,24.379559433557432
SE,2016,10882.0,39060.0,28419.0,67479.0,,,,,9851017.0,,447424.0,1104.6575191170616,24.321449005864686
SE,2017,10874.0,40525.0,28825.0,69350.0,,,,,9995153.0,,447424.0,1087.9273183712146,24.303568874266915
SE,2018,10906.0,36502.0,32621.0,69123.0,,,,,10120242.0,,447424.0,1077.6422144845944,24.37508940065799
SE,2019,10899.0,35862.0,32358.0,68220.0,,,,,10230185.0,,447424.0,1065.3766280863933,24.35944428550994
SE,2020,10909.0,37318.0,32487.0,69805.0,,,,,10327589.0,,447424.0,1056.2968762602773,24.381794450007153
SE,2021,10912.0,39624.0,32834.0,72458.0,,,,,10379295.0,,447424.0,1051.3238134189266,24.388499499356318
SE,2022,10914.0,36190.55180770137,33175.56896294597,69365.93103786973,,1076.2948866422155,882.8807806487042,1266.0905149744412,10452326.0,,447424.0,1044.16949873167,24.39296953225576
SE,2023,10906.0,36693.0,31600.0,68293.0,,,,,10521556.0,,447424.0,1036.5387020703022,24.37508940065799
SE,2024,10823.100020118489,34408.0,31499.0,65906.0,43.29923986151024,,,,10551707.0,,447424.0,1025.7202953151077,24.189806581941266
SI,2008,1228.07,8629.0,8605.0,17271.0,,,,,2009313.8842166224,7589.897280307234,20273.0,611.1887294696078,60.576629013959455
SI,2009,1228.07,7584.0,5484.0,13097.0,,,,,2016357.8203622184,6954.991331297078,20273.0,609.0536052670401,60.576629013959455
SI,2010,1228.07,9072.0,6494.0,15600.0,,,,,2023401.7565078149,6325.879961185949,20273.0,606.9333468008467,60.576629013959455
SI,2011,1209.13,9722.0,6515.0,16268.0,,,,,2030445.692653411,5704.480635462304,20273.0,595.4997980861505,59.64238149262567
SI,2012,1209.0,9331.0,5442.0,14798.0,,,,,2037489.6287990075,5093.616645322748,20273.0,593.377253513993,59.63596902283826
SI,2013,1209.0,10815.0,5216.0,16054.0,,,,,2044533.564944604,4497.582785315638,20273.0,591.3329185342856,59.63596902283826
SI,2014,1209.0,11952.0,4930.0,16906.0,,,,,2061085.0,,20273.0,586.5842505282412,59.63596902283826
SI,2015,1209.0,11647.0,4797.0,16469.0,,,,,2062874.0,,20273.0,586.0755431499937,59.63596902283826
SI,2016,1209.0,12185.0,4715.0,16927.0,,,,,2064188.0,,20273.0,585.7024650855445,59.63596902283826
SI,2017,1209.0,13908.0,4662.0,18597.0,,,,,2065895.0,,20273.0,585.2185130415631,59.63596902283826
SI,2018,1209.0,13719.0,4609.0,18355.0,,,,,2066880.0,,20273.0,584.9396191360893,59.63596902283826
SI,2019,1209.0,14094.0,4333.0,18450.0,,,,,2080908.0,,20273.0,580.9963727372858,59.63596902283826
SI,2020,1209.0,12542.0,3959.0,16501.0,,,,,2095861.0,,20273.0,576.8512320234977,59.63596902283826
SI,2021,1209.0,12690.0,4003.0,16693.0,,,,,2108977.0,,20273.0,573.2637198034877,59.63596902283826
SI,2022,1208.0,13327.0,3905.0,17232.0,,,,,2107180.0,,20273.0,573.2780303533632,59.58664233216594
SI,2023,1208.0,12518.0,3433.0,15951.0,,,,,2116972.0,,20273.0,570.6263474434239,59.58664233216594
SI,2024,1202.7974969245536,12064.0,3136.0,15200.0,3.013642911141165,,,,2123949.0,,20273.0,566.3024380173694,59.33002007224158
SK,2008,3623.0,29516.0,15009.0,46621.0,,,,,5419960.035389691,16087.742258911814,49035.0,668.4551133852611,73.88599979606404
SK,2009,3623.0,26695.0,8851.0,36671.0,,,,,5421437.048964608,14741.978894501732,49035.0,668.2729998113552,73.88599979606404
SK,2010,3622.0,30405.0,10074.0,43197.0,,,,,5422914.062539525,13408.497838955956,49035.0,667.906582739361,73.86560619965331
SK,2011,3624.0,27312.0,10172.0,41963.0,,,,,5424391.076114443,12091.36339306834,49035.0,668.0934226807104,73.90639339247477
SK,2012,3631.0,26931.0,8353.0,40371.0,,,,,5425868.089689361,10796.55986616914,49035.0,669.2016724291357,74.04914856734986
SK,2013,3631.0,27049.0,9259.0,46340.0,,,,,5427345.103264278,9533.190600156371,49035.0,669.0195539281507,74.04914856734986
SK,2014,3627.0,27758.0,8259.0,46680.0,,,,,5415949.0,,49035.0,669.6887286050884,73.96757418170695
SK,2015,3626.0,29388.0,8136.0,45478.0,,,,,5421349.0,,49035.0,668.8372211418229,73.94718058529622
SK,2016,3626.0,35035.0,6247.0,47548.0,,,,,5426252.0,,49035.0,668.2328797114473,73.94718058529622
SK,2017,3626.0,32628.0,7622.0,47760.0,,,,,5435343.0,,49035.0,667.1152124162174,73.94718058529622
SK,2018,3627.0,35686.0,6827.0,49642.0,,,,,5443120.0,,49035.0,666.3457722776642,73.96757418170695
SK,2019,3629.0,37636.0,7126.0,46413.0,,,,,5450421.0,,49035.0,665.8201265553614,74.0083613745284
SK,2020,3627.0,33761.0,5974.0,41572.0,,,,,5457873.0,,49035.0,664.5445945700825,73.96757418170695
SK,2021,3626.0,33617.0,6411.0,49944.0,,,,,5459781.0,,49035.0,664.1292022518851,73.94718058529622
SK,2022,3626.0,30698.0,6066.0,46712.0,,,,,5434712.0,,49035.0,667.1926681671448,73.94718058529622
SK,2023,3631.0,28842.0,4769.0,44304.0,,,,,5428792.0,,49035.0,668.8412449767831,74.04914856734986
SK,2024,3628.975005214504,28468.0,3437.0,44282.0,1.3483006995626907,,,,5424687.0,,49035.0,668.9740818621433,74.00785164096062
